type,email,password,business_id,business_staff_id
business_staff,john72@example.com,*vfJ4h5z3F,29fmNrFZhVX9zW5tBZFNdbTzBZn2,zxMxzWFHX3cUX6VbYrSW6JOuca13
business_staff,lindseyjames@example.net,(cYei09Ex1,29fmNrFZhVX9zW5tBZFNdbTzBZn2,FvVGahwN2qW5cQJFnCy85AM3hCI2
business_staff,qsantana@example.net,D&S37#Gt5F,29fmNrFZhVX9zW5tBZFNdbTzBZn2,rvuAtOz1yKe1FSgwPuywL08zjWm2
business_staff,timothy51@example.net,9ltXPt*x+V,29fmNrFZhVX9zW5tBZFNdbTzBZn2,yGhv6oPQNrMfROoluUUkgtKIrmG2
business_staff,jason67@example.com,szDTToSz_2,29fmNrFZhVX9zW5tBZFNdbTzBZn2,lYvkCAYGzthHVyAolkN6DnyFvnJ3
business_staff,ihale@example.net,+99KZHokiI,29fmNrFZhVX9zW5tBZFNdbTzBZn2,ocyI41VhNbNj7CVBfsGfQ4KMSVD3
business_staff,marieperez@example.com,f8ZIRi%R@m,Lxt6LjxXa9acMDqeHdbuodstNim1,YY4HHOTIZeMR1w9GkdoasCjdvqb2
business_staff,davidhansen@example.com,jgQd97Hh_0,Lxt6LjxXa9acMDqeHdbuodstNim1,DfeF20WLRrSxJxwCx0gDqGIURjA3
business_staff,laura21@example.com,3j@Gt5WM*4,Lxt6LjxXa9acMDqeHdbuodstNim1,vwpzVjggsgeRSsbLcxSSlrahY0K3
business_staff,rogersvanessa@example.org,n(e6Kg(v%Y,Lxt6LjxXa9acMDqeHdbuodstNim1,n86t1hIlDHdZg9SzmadAGgUNPhF2
business_staff,christopherthomas@example.com,@8)!9UfYy8,Lxt6LjxXa9acMDqeHdbuodstNim1,y9bxabUlzfg159rJbCpkrts0ueN2
business_staff,twalker@example.net,BNL)2YxSi6,Lxt6LjxXa9acMDqeHdbuodstNim1,zT1Xc5GLJwheTGud68phQhvqVHt2
business_staff,daniel60@example.net,u$1htAbgec,Lxt6LjxXa9acMDqeHdbuodstNim1,nGgCUf8KUhR6MxKkTSRIPufzPWi2
business_staff,angelaanderson@example.org,9620c0Xk*_,Lxt6LjxXa9acMDqeHdbuodstNim1,DeEHlzHZUsWDGpD7hZpCgWUCjYX2
business_staff,zcervantes@example.net,_H2fIgOh$*,Lxt6LjxXa9acMDqeHdbuodstNim1,wMtzg7fQvufYOQOYSNUrB3qBrC93
business_staff,samuelsanchez@example.net,+Ub4U!Hs0a,Lxt6LjxXa9acMDqeHdbuodstNim1,XTb3vbdFQvOrc98mXQg2hdxTsGE2
